Match Number,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Price USD
22,"England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT","Pitchside Lounge",3450
22,"England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT","VIP ",3000
22,"England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT","Trophy Lounge",2500
20,"Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","Pitchside Lounge",3200
20,"Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","VIP ",2800
20,"Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","Trophy Lounge",2250
20,"Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT","Champions Club",2000
18,"FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","Pitchside Lounge",3150
18,"FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","VIP ",2900
18,"FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","Trophy Lounge",2225
18,"FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET","Champions Club",2000
26,"Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","Pitchside Lounge",3400
26,"Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","VIP ",3000
26,"Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","Trophy Lounge",2500
26,"Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","Champions Club",2200
26,"Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT","FIFA Pavilion",1510
29,"Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","Pitchside Lounge",3300
29,"Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","VIP ",2800
29,"Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","Trophy Lounge",2490
29,"Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET","Champions Club",2310
23,"Portugal","FIFA Play-Off 1","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT","Pitchside Lounge",3200
23,"Portugal","FIFA Play-Off 1","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT","VIP ",2700
23,"Portugal","FIFA Play-Off 1","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT","Trophy Lounge",2475
25,"European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","Pitchside Lounge",3350
25,"European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","VIP ",2800
25,"European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","Trophy Lounge",2300
25,"European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET","Champions Club",2000
34,"Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","Pitchside Lounge",3350
34,"Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","VIP ",2850
34,"Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","Trophy Lounge",2400
34,"Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","Champions Club",2050
34,"Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT","FIFA Pavilion",1475
30,"Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","Pitchside Lounge",3350
30,"Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","VIP ",2850
30,"Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","Trophy Lounge",2350
30,"Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET","Champions Club",2050
31,"European Play-Off C","Paraguay","San Francisco Bay Area Stadium","Santa Clara","United States","June 19","Friday, 9pm PT","Pitchside Lounge",3400
