Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Original Price,Original Currency,Price (USD),Portal
2,"GROUP STAGE MATCHES","Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","Pitchside Lounge",103000,MXN,5950,Mexico
2,"GROUP STAGE MATCHES","Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","VIP ",78650,MXN,4544,Mexico
2,"GROUP STAGE MATCHES","Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","Trophy Lounge",67000,MXN,3871,Mexico
2,"GROUP STAGE MATCHES","Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","Champions Club",51300,MXN,2964,Mexico
2,"GROUP STAGE MATCHES","Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT","FIFA Pavilion",34200,MXN,1976,Mexico
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET","Pitchside Lounge",11000,CAD,8029,Canada
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET","VIP ",7975,CAD,5821,Canada
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET","Lounge 1930 ",7975,CAD,5821,Canada
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET","Trophy Lounge",6975,CAD,5091,Canada
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET","Champions Club",6375,CAD,4653,Canada
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET","FIFA Pavilion",4650,CAD,3394,Canada
4,"GROUP STAGE MATCHES","USA","Paraguay","Los Angeles Stadium","Inglewood","United States","June 12","Friday, 6pm PT","Pitchside Lounge",5600,USD,5600,United States
4,"GROUP STAGE MATCHES","USA","Paraguay","Los Angeles Stadium","Inglewood","United States","June 12","Friday, 6pm PT","VIP ",4950,USD,4950,United States
4,"GROUP STAGE MATCHES","USA","Paraguay","Los Angeles Stadium","Inglewood","United States","June 12","Friday, 6pm PT","Trophy Lounge",4350,USD,4350,United States
4,"GROUP STAGE MATCHES","USA","Paraguay","Los Angeles Stadium","Inglewood","United States","June 12","Friday, 6pm PT","Champions Club",3650,USD,3650,United States
