Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
2,"GROUP STAGE MATCHES","Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT",34200,"FIFA Pavilion",MXN,1991,"Mexico"
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET",6375,"Champions Lounge",MXN,371,"Mexico"
4,"GROUP STAGE MATCHES","USA","Paraguay","Los Angeles Stadium","Inglewood","United States","June 12","Friday, 6pm PT",3000,"FIFA Pavilion",MXN,175,"Mexico"
5,"GROUP STAGE MATCHES","Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET",2400,"Trophy Lounge",MXN,140,"Mexico"
6,"GROUP STAGE MATCHES","Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT",2950,"FIFA Pavilion",MXN,172,"Mexico"
7,"GROUP STAGE MATCHES","Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET",3400,"Champions Lounge",MXN,198,"Mexico"
8,"GROUP STAGE MATCHES","Qatar","Switzerland","San Francisco Bay Area Stadium","Santa Clara","United States","June 13","Saturday, 12pm PT",2300,"Champions Lounge",MXN,134,"Mexico"
9,"GROUP STAGE MATCHES","Côte d'Ivoire","Ecuador","Philadelphia Stadium","Philadelphia","United States","June 14","Sunday, 7pm ET",2375,"Trophy Lounge",MXN,138,"Mexico"
10,"GROUP STAGE MATCHES","Germany","Curaçao","Houston Stadium","Houston","United States","June 14","Sunday, 12pm CT",3600,"Pitch Side Lounge",MXN,210,"Mexico"
11,"GROUP STAGE MATCHES","Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT",2300,"Champions Lounge",MXN,134,"Mexico"
12,"GROUP STAGE MATCHES","European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT",61350,"Champions Lounge",MXN,3571,"Mexico"
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET",1750,"FIFA Pavilion",MXN,102,"Mexico"
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET",2050,"Champions Lounge",MXN,119,"Mexico"
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT",1400,"FIFA Pavilion",MXN,81,"Mexico"
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT",1575,"FIFA Pavilion",MXN,92,"Mexico"
17,"GROUP STAGE MATCHES","France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET",2300,"FIFA Pavilion",MXN,134,"Mexico"
18,"GROUP STAGE MATCHES","FIFA Play-Off 2","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET",2000,"Champions Lounge",MXN,116,"Mexico"
19,"GROUP STAGE MATCHES","Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT",2000,"FIFA Pavilion",MXN,116,"Mexico"
20,"GROUP STAGE MATCHES","Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT",2000,"Champions Lounge",MXN,116,"Mexico"
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET",3940,"Trophy Lounge",MXN,229,"Mexico"
22,"GROUP STAGE MATCHES","England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT",2430,"Champions Lounge",MXN,141,"Mexico"
23,"GROUP STAGE MATCHES","Portugal","FIFA Play-Off 1","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT",2450,"Champions Lounge",MXN,143,"Mexico"
24,"GROUP STAGE MATCHES","Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT",67500,"Champions Lounge",MXN,3929,"Mexico"
25,"GROUP STAGE MATCHES","European Play-Off D","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET",2000,"Champions Lounge",MXN,116,"Mexico"
26,"GROUP STAGE MATCHES","Switzerland","European Play-Off A","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT",1510,"FIFA Pavilion",MXN,88,"Mexico"
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT",3575,"FIFA Pavilion",MXN,208,"Mexico"
29,"GROUP STAGE MATCHES","Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 9pm ET",2490,"Trophy Lounge",MXN,145,"Mexico"
30,"GROUP STAGE MATCHES","Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET",2200,"Champions Lounge",MXN,128,"Mexico"
31,"GROUP STAGE MATCHES","European Play-Off C","Paraguay","San Francisco Bay Area Stadium","Santa Clara","United States","June 19","Friday, 9pm PT",2100,"Champions Lounge",MXN,122,"Mexico"
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT",2650,"FIFA Pavilion",MXN,154,"Mexico"
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET",5100,"Lounge 1930",MXN,297,"Mexico"
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT",1475,"FIFA Pavilion",MXN,86,"Mexico"
35,"GROUP STAGE MATCHES","Netherlands","European Play-Off B","Houston Stadium","Houston","United States","June 20","Saturday, 12pm CT",2420,"Champions Lounge",MXN,141,"Mexico"
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET",1825,"FIFA Pavilion",MXN,106,"Mexico"
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET",2150,"Champions Lounge",MXN,125,"Mexico"
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT",1475,"FIFA Pavilion",MXN,86,"Mexico"
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT",2575,"FIFA Pavilion",MXN,150,"Mexico"
41,"GROUP STAGE MATCHES","Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET",1800,"FIFA Pavilion",MXN,105,"Mexico"
42,"GROUP STAGE MATCHES","France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET",2260,"Champions Lounge",MXN,132,"Mexico"
43,"GROUP STAGE MATCHES","Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT",2430,"Champions Lounge",MXN,141,"Mexico"
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT",2000,"Champions Lounge",MXN,116,"Mexico"
45,"GROUP STAGE MATCHES","England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET",2430,"Champions Lounge",MXN,141,"Mexico"
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET",3450,"Champions Lounge",MXN,201,"Mexico"
47,"GROUP STAGE MATCHES","Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT",2450,"Champions Lounge",MXN,143,"Mexico"
48,"GROUP STAGE MATCHES","Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT",36770,"FIFA Pavilion",MXN,2140,"Mexico"
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET",3000,"FIFA Pavilion",MXN,175,"Mexico"
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET",2050,"Champions Lounge",MXN,119,"Mexico"
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT",3425,"FIFA Pavilion",MXN,199,"Mexico"
52,"GROUP STAGE MATCHES","European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT",1575,"FIFA Pavilion",MXN,92,"Mexico"
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT",55350,"Champions Lounge",MXN,3222,"Mexico"
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET",2150,"Champions Lounge",MXN,125,"Mexico"
